Mothur name	Nr reads_0	Sample No.	Subsample	Date of Sampling	Sample Name	Description	Description 2	Fermenter
A1018	32658	2019-14-1018	Mibi	9/3/2019	Feed residue d13 (48h) Trt3-Run1-HP2	Feed residue at day 13 from 48h bag	Treatment 3 Run 1 Heat pump 2	g
A1019	31218	2019-14-1019	Mibi	9/3/2019	Feed residue d13 (24h) Trt4-Run1-HP1	Feed residue at day 13 from 24h bag	Treatment 4 Run 1 Heat pump 1	c
A1020	28841	2019-14-1020	Mibi	9/3/2019	Feed residue d13 (48h) Trt4-Run1-HP1	Feed residue at day 13 from 48h bag	Treatment 4 Run 1 Heat pump 1	c
A1021	25300	2019-14-1021	Mibi	9/3/2019	Feed residue d13 (24h) Trt4-Run1-HP2	Feed residue at day 13 from 24h bag	Treatment 4 Run 1 Heat pump 2	f
A1022	29216	2019-14-1022	Mibi	9/3/2019	Feed residue d13 (48h) Trt4-Run1-HP2	Feed residue at day 13 from 48h bag	Treatment 4 Run 1 Heat pump 2	f
A1023	28287	2019-14-1023	Mibi	9/3/2019	Feed residue d13 (24h) Trt5-Run1-HP1	Feed residue at day 13 from 24h bag	Treatment 5 Run 1 Heat pump 1	b
A1024	29617	2019-14-1024	Mibi	9/3/2019	Feed residue d13 (48h) Trt5-Run1-HP1	Feed residue at day 13 from 48h bag	Treatment 5 Run 1 Heat pump 1	b
A1025	28153	2019-14-1025	Mibi	9/3/2019	Feed residue d13 (24h) Trt5-Run1-HP2	Feed residue at day 13 from 24h bag	Treatment 5 Run 1 Heat pump 2	i
A1026	36218	2019-14-1026	Mibi	9/3/2019	Feed residue d13 (48h) Trt5-Run1-HP2	Feed residue at day 13 from 48h bag	Treatment 5 Run 1 Heat pump 2	i
A1027	38568	2019-14-1027	Mibi	9/3/2019	SAM d13 Trt1-Run1-HP1	Liquid after SAM treatment of both bags at day 13	Treatment 1 Run 1 Heat pump 1	e
A1028	41601	2019-14-1028	Mibi	9/3/2019	SAM d13 Trt1-Run1-HP2	Liquid after SAM treatment of both bags at day 13	Treatment 1 Run 1 Heat pump 2	j
A1029	39364	2019-14-1029	Mibi	9/3/2019	SAM d13 Trt2-Run1-HP1	Liquid after SAM treatment of both bags at day 13	Treatment 2 Run 1 Heat pump 1	d
A1030	38074	2019-14-1030	Mibi	9/3/2019	SAM d13 Trt2-Run1-HP2	Liquid after SAM treatment of both bags at day 13	Treatment 2 Run 1 Heat pump 2	h
A1031	24584	2019-14-1031	Mibi	9/3/2019	SAM d13 Trt3-Run1-HP1	Liquid after SAM treatment of both bags at day 13	Treatment 3 Run 1 Heat pump 1	a
A1032	21160	2019-14-1032	Mibi	9/3/2019	SAM d13 Trt3-Run1-HP2	Liquid after SAM treatment of both bags at day 13	Treatment 3 Run 1 Heat pump 2	g
A1033	40462	2019-14-1033	Mibi	9/3/2019	SAM d13 Trt4-Run1-HP1	Liquid after SAM treatment of both bags at day 13	Treatment 4 Run 1 Heat pump 1	c
