Mothur name	Nr reads_0	Sample No.	Subsample	Date of Sampling	Sample Name	Description	Description 2	Fermenter
B1038	30572	2019-14-1038	Mibi	8/28/2019	Fermenter liquid d7 Trt1-Run1-HP2	Fermenter liquid at day 7	Treatment 1 Run 1 Heat pump 2	j
B1039	13574	2019-14-1039	Mibi	8/28/2019	Fermenter liquid d7 Trt2-Run1-HP1	Fermenter liquid at day 7	Treatment 2 Run 1 Heat pump 1	d
B1040	21184	2019-14-1040	Mibi	8/28/2019	Fermenter liquid d7 Trt2-Run1-HP2	Fermenter liquid at day 7	Treatment 2 Run 1 Heat pump 2	h
B1041	23431	2019-14-1041	Mibi	8/28/2019	Fermenter liquid d7 Trt3-Run1-HP1	Fermenter liquid at day 7	Treatment 3 Run 1 Heat pump 1	a
B1042	22087	2019-14-1042	Mibi	8/28/2019	Fermenter liquid d7 Trt3-Run1-HP2	Fermenter liquid at day 7	Treatment 3 Run 1 Heat pump 2	g
B1043	20291	2019-14-1043	Mibi	8/28/2019	Fermenter liquid d7 Trt4-Run1-HP1	Fermenter liquid at day 7	Treatment 4 Run 1 Heat pump 1	c
B1044	21226	2019-14-1044	Mibi	8/28/2019	Fermenter liquid d7 Trt4-Run1-HP2	Fermenter liquid at day 7	Treatment 4 Run 1 Heat pump 2	f
B1045	53062	2019-14-1045	Mibi	8/28/2019	Fermenter liquid d7 Trt5-Run1-HP1	Fermenter liquid at day 7	Treatment 5 Run 1 Heat pump 1	b
B1046	23738	2019-14-1046	Mibi	8/28/2019	Fermenter liquid d7 Trt5-Run1-HP2	Fermenter liquid at day 7	Treatment 5 Run 1 Heat pump 2	i
B1047	49403	2019-14-1047	Mibi	9/3/2019	Fermenter liquid d13 Trt1-Run1-HP1	Fermenter liquid at day 13	Treatment 1 Run 1 Heat pump 1	e
B1048	38673	2019-14-1048	Mibi	9/3/2019	Fermenter liquid d13 Trt1-Run1-HP2	Fermenter liquid at day 13	Treatment 1 Run 1 Heat pump 2	j
B1049	35783	2019-14-1049	Mibi	9/3/2019	Fermenter liquid d13 Trt2-Run1-HP1	Fermenter liquid at day 13	Treatment 2 Run 1 Heat pump 1	d
B1050	32569	2019-14-1050	Mibi	9/3/2019	Fermenter liquid d13 Trt2-Run1-HP2	Fermenter liquid at day 13	Treatment 2 Run 1 Heat pump 2	h
B1051	33275	2019-14-1051	Mibi	9/3/2019	Fermenter liquid d13 Trt3-Run1-HP1	Fermenter liquid at day 13	Treatment 3 Run 1 Heat pump 1	a
B1052	32555	2019-14-1052	Mibi	9/3/2019	Fermenter liquid d13 Trt3-Run1-HP2	Fermenter liquid at day 13	Treatment 3 Run 1 Heat pump 2	g
B1053	31010	2019-14-1053	Mibi	9/3/2019	Fermenter liquid d13 Trt4-Run1-HP1	Fermenter liquid at day 13	Treatment 4 Run 1 Heat pump 1	c
B1054	29697	2019-14-1054	Mibi	9/3/2019	Fermenter liquid d13 Trt4-Run1-HP2	Fermenter liquid at day 13	Treatment 4 Run 1 Heat pump 2	f
B1055	50878	2019-14-1055	Mibi	9/3/2019	Fermenter liquid d13 Trt5-Run1-HP1	Fermenter liquid at day 13	Treatment 5 Run 1 Heat pump 1	b
B1056	48077	2019-14-1056	Mibi	9/3/2019	Fermenter liquid d13 Trt5-Run1-HP2	Fermenter liquid at day 13	Treatment 5 Run 1 Heat pump 2	i
B1057	39836	2019-14-1057	Mibi	8/28/2019	Effluent d7 Trt1-Run1-HP1	Effluent at day 7	Treatment 1 Run 1 Heat pump 1	e
B1058	35109	2019-14-1058	Mibi	8/28/2019	Effluent d7 Trt1-Run1-HP2	Effluent at day 7	Treatment 1 Run 1 Heat pump 2	j
B1059	40820	2019-14-1059	Mibi	8/28/2019	Effluent d7 Trt2-Run1-HP1	Effluent at day 7	Treatment 2 Run 1 Heat pump 1	d
B1060	34334	2019-14-1060	Mibi	8/28/2019	Effluent d7 Trt2-Run1-HP2	Effluent at day 7	Treatment 2 Run 1 Heat pump 2	h
B1061	35483	2019-14-1061	Mibi	8/28/2019	Effluent d7 Trt3-Run1-HP1	Effluent at day 7	Treatment 3 Run 1 Heat pump 1	a
B1062	30521	2019-14-1062	Mibi	8/28/2019	Effluent d7 Trt3-Run1-HP2	Effluent at day 7	Treatment 3 Run 1 Heat pump 2	g
B1063	47038	2019-14-1063	Mibi	8/28/2019	Effluent d7 Trt4-Run1-HP1	Effluent at day 7	Treatment 4 Run 1 Heat pump 1	c
B1064	47013	2019-14-1064	Mibi	8/28/2019	Effluent d7 Trt4-Run1-HP2	Effluent at day 7	Treatment 4 Run 1 Heat pump 2	f
B1065	39877	2019-14-1065	Mibi	8/28/2019	Effluent d7 Trt5-Run1-HP1	Effluent at day 7	Treatment 5 Run 1 Heat pump 1	b
B1066	34889	2019-14-1066	Mibi	8/28/2019	Effluent d7 Trt5-Run1-HP2	Effluent at day 7	Treatment 5 Run 1 Heat pump 2	i
B1067	33578	2019-14-1067	Mibi	9/3/2019	Effluent d13 Trt1-Run1-HP1	Effluent at day 13	Treatment 1 Run 1 Heat pump 1	e
B1068	33512	2019-14-1068	Mibi	9/3/2019	Effluent d13 Trt1-Run1-HP2	Effluent at day 13	Treatment 1 Run 1 Heat pump 2	j
B1069	34235	2019-14-1069	Mibi	9/3/2019	Effluent d13 Trt2-Run1-HP1	Effluent at day 13	Treatment 2 Run 1 Heat pump 1	d
B1070	31772	2019-14-1070	Mibi	9/3/2019	Effluent d13 Trt2-Run1-HP2	Effluent at day 13	Treatment 2 Run 1 Heat pump 2	h
B1071	73317	2019-14-1071	Mibi	9/3/2019	Effluent d13 Trt3-Run1-HP1	Effluent at day 13	Treatment 3 Run 1 Heat pump 1	a
B1072	218	2019-14-1072	Mibi	9/3/2019	Effluent d13 Trt3-Run1-HP2	Effluent at day 13	Treatment 3 Run 1 Heat pump 2	g
B1073	35839	2019-14-1073	Mibi	9/3/2019	Effluent d13 Trt4-Run1-HP1	Effluent at day 13	Treatment 4 Run 1 Heat pump 1	c
B1074	35043	2019-14-1074	Mibi	9/3/2019	Effluent d13 Trt4-Run1-HP2	Effluent at day 13	Treatment 4 Run 1 Heat pump 2	f
B1075	35179	2019-14-1075	Mibi	9/3/2019	Effluent d13 Trt5-Run1-HP1	Effluent at day 13	Treatment 5 Run 1 Heat pump 1	b
B1076	32955	2019-14-1076	Mibi	9/3/2019	Effluent d13 Trt5-Run1-HP2	Effluent at day 13	Treatment 5 Run 1 Heat pump 2	i
B2000	35082	2019-14-2000	Mibi	9/11/2019	SP d0-C1-Run2	Rumen solid phase from day 0 (start)	From cow 1 Run 2	
B2001	43871	2019-14-2001	Mibi	9/11/2019	SP d0-C2-Run2	Rumen solid phase from day 0 (start)	From cow 2 Run 2	
B2002	55833	2019-14-2002	Mibi	9/11/2019	SP d0-C3-Run2	Rumen solid phase from day 0 (start)	From cow 3 Run 2	
B2003	40334	2019-14-2003	Mibi	9/11/2019	RF d0-C1-Run2	Rumen fluid from day 0 (start)	From cow 1 Run 2	
B2004	37534	2019-14-2004	Mibi	9/11/2019	RF d0-C2-Run2	Rumen fluid from day 0 (start)	From cow 2 Run 2	
B2005	40267	2019-14-2005	Mibi	9/11/2019	RF d0-C3-Run2	Rumen fluid from day 0 (start)	From cow 3 Run 2	
